"name","year","selling_price","km_driven","mileage","engine","max_power","torque","seats","car_age","fuel.Diesel","fuel.CNG","fuel.LPG","fuel.Petrol","seller_type.Individual","seller_type.Dealer","seller_type.Trustmark Dealer","transmission.Manual","transmission.Automatic","owner.First Owner","owner.Fourth & Above Owner","owner.Second Owner","owner.Test Drive Car","owner.Third Owner"
"Tata Nexon 1.5 Revotorq XM",1.03934534094859,0.261848603191372,-1.16540019701316,0.528382643938461,0.0763346515256331,0.482723450712596,0.932123084578487,-0.432660013916791,-1.0393453409486,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Hyundai i20 Active SX Diesel",1.03934534094859,0.137881131420429,-0.770330704651668,0.450907121874894,-0.124564331031112,-0.0725493341852473,0.508649865242025,-0.432660013916791,-1.0393453409486,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Toyota Fortuner 4x2 AT",0.294324587610424,1.0676371697025,0.193253423059283,-1.70841065434839,3.03014642476095,2.1704826753261,1.96498459515523,1.63665850621134,-0.29432458761043,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,-2.60209378295013,2.60209378295013,-1.36465562955544,-0.142236709495421,1.68837672355233,-0.0288771423835181,-0.272215913861402
"Hyundai Verna 1.6 VTVT SX",0.294324587610424,0.193666493717353,-0.673972291880573,-0.593762820788683,0.26330994222201,0.842778751963477,-0.162710116632856,-0.432660013916791,-0.29432458761043,-1.09251330144444,-0.0859434531741467,-0.0672278822116238,1.1189475159915,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Volvo XC40 D4 Inscription BSIV",1.28768559206132,3.9188890204342,-0.963047530193858,-0.346340992263099,1.01518930268191,2.77526306414594,2.37812919938592,-0.432660013916791,-1.28768559206132,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,-2.60209378295013,2.60209378295013,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Fiat Avventura Power Up 1.3 Emotion",0.294324587610424,-0.172037548006929,0.511236185203896,0.278461605023729,-0.418950958936046,0.0107134542290188,0.405363714184351,-0.432660013916791,-0.29432458761043,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Hyundai i10 Magna 1.2 iTech SE",-0.202355914615023,-0.38898062360608,0.000536597517092565,0.243472659575667,-0.520394999633016,-0.349904433430067,-0.606840566180853,-0.432660013916791,0.202355914615017,-1.09251330144444,-0.0859434531741467,-0.0672278822116238,1.1189475159915,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Hyundai EON D Lite Plus",0.791005089835871,-0.457162733080099,-0.384897053567288,0.428414228372568,-1.28221985427889,-1.0165693271524,-0.988999325094246,-0.432660013916791,-0.791005089835876,-1.09251330144444,-0.0859434531741467,-0.0672278822116238,1.1189475159915,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
"Mahindra Verito 1.5 D4 BSIII",-0.699036416840469,-0.576171505980204,0.578687074143663,0.403422124481095,0.00472709338659525,-0.766218375501398,-0.100738425998251,-0.432660013916791,0.699036416840464,0.915168110092049,-0.0859434531741467,-0.0672278822116238,-0.893548016367311,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,-1.36465562955544,-0.142236709495421,1.68837672355233,-0.0288771423835181,-0.272215913861402
"Hyundai i10 Magna 1.2 iTech SE",-0.450696165727746,-0.457162733080099,-0.269266958241974,0.243472659575667,-0.520394999633016,-0.349904433430067,-0.606840566180853,-0.432660013916791,0.450696165727741,-1.09251330144444,-0.0859434531741467,-0.0672278822116238,1.1189475159915,0.445565519657768,-0.397837623629006,-0.172803760718635,0.384241851652161,-0.384241851652161,0.732663473244929,-0.142236709495421,-0.592186162830825,-0.0288771423835181,-0.272215913861402
